subject,event,event_n,channel,hemis,area,subarea,tauorg,tauimp,pernan
A1i7n,eyes_open,3,E30,Central,Central,Cz,0.075090142,0.075090142,0
A1i7n,eyes_open,3,E31,Central,Central,Cz,1.330719092,1.330719092,0
A1i7n,eyes_open,3,E32,Left,Frontalpole,Fp1,0.206276199,0.206276199,0
A1i7n,eyes_open,3,E33,Left,Frontal,F7,0.582368479,0.582368479,0
A1i7n,eyes_open,3,E34,Left,Frontal,F7,0.233040247,0.233040247,0
A1i7n,eyes_open,3,E35,Left,Central,C3,0.129579587,0.129579587,0
A1i7n,eyes_open,3,E36,Left,Central,C3,0.110396541,0.110396541,0
A1i7n,eyes_open,3,E37,Central,Central,Cz,0.168731548,0.168731548,0
A1i7n,eyes_open,3,E38,Left,Temporal,TL,0.3980462,0.3980462,0
A1i7n,eyes_open,3,E39,Left,Temporal,TL,0.091219167,0.091219167,0
A1i7n,eyes_open,3,E40,Left,Temporal,TL,5.0392E-05,5.0392E-05,0
A1i7n,eyes_open,3,E41,Left,Central,C7,0.05784424,0.05784424,0
A1i7n,eyes_open,3,E42,Left,Central,C3,0.066251306,0.066251306,0
A1i7n,eyes_open,3,E44,Left,Temporal,TL,0.540270723,0.540270723,0
A1i7n,eyes_open,3,E45,Left,Temporal,TL,0.164119451,0.164119451,0
A1i7n,eyes_open,3,E46,Left,Temporal,TL,0.149166701,0.149166701,0
A1i7n,eyes_open,3,E47,Left,Central,C7,0.435511251,0.435511251,0
A1i7n,eyes_open,3,E50,Left,Temporal,TL,0.096509687,0.096509687,0
A1i7n,eyes_open,3,E51,Left,Parietal,P7,0.229787793,0.229787793,0
A1i7n,eyes_open,3,E52,Left,Parietal,P3,0.761818778,0.761818778,0
A1i7n,eyes_open,3,E53,Left,Parietal,P3,3.01972E-05,3.01972E-05,0
A1i7n,eyes_open,3,E54,Central,Central,Cz,0.181033572,0.181033572,0
A1i7n,eyes_open,3,E55,Central,Central,Cz,0.109840933,0.109840933,0
A1i7n,eyes_open,3,E57,Left,Temporal,TL,0.096099949,0.096099949,0
A1i7n,eyes_open,3,E58,Left,Parietal,P7,0.089338237,0.089338237,0
A1i7n,eyes_open,3,E59,Left,Parietal,P7,0.094637249,0.094637249,0
A1i7n,eyes_open,3,E60,Left,Parietal,P3,2.178879907,2.178879907,0
A1i7n,eyes_open,3,E61,Central,Parietal,Pz,2.95898E-05,2.95898E-05,0
A1i7n,eyes_open,3,E62,Central,Parietal,Pz,0.194885934,0.194885934,0
A1i7n,eyes_open,3,E64,Left,Parietal,P7,0.194446833,0.194446833,0
A1i7n,eyes_open,3,E65,Left,Parietal,P7,0.180257967,0.180257967,0
A1i7n,eyes_open,3,E66,Left,Occipital,O1,0.433167234,0.433167234,0
A1i7n,eyes_open,3,E67,Central,Parietal,Pz,0.411311444,0.411311444,0
A1i7n,eyes_open,3,E69,Left,Occipital,O1,0.083582831,0.083582831,0
A1i7n,eyes_open,3,E70,Left,Occipital,O1,0.089078809,0.089078809,0
A1i7n,eyes_open,3,E71,Central,Occipital,Oz,0.163210843,0.163210843,0
